,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,wine_type
13289,Grande Rosé N.V.,France,Champagne,Montaudon,3.9,1779,24.99,N.V.,espumoso
13290,Demi-Sec Champagne N.V.,France,Champagne,Taittinger,4.2,1814,47.18,N.V.,espumoso
13291,Brut Rosé N.V.,Italy,Trento,Rotari,3.4,1830,9.75,N.V.,espumoso
13292,Brut Champagne 2004,France,Champagne,Krug,4.6,1853,229.0,2004,espumoso
13293,Prosecco Valdobbiadene Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Villa Sandi,3.8,1861,10.5,N.V.,espumoso
13294,Grand Blanc de Blancs Brut Champagne N.V.,France,Champagne,Gosset,4.1,1874,50.69,N.V.,espumoso
13295,Reserve Rosé Champagne N.V.,France,Champagne,Charles Heidsieck,4.1,1884,62.69,N.V.,espumoso
13296,Extra Age Brut Champagne N.V.,France,Champagne,Lanson,4.2,1915,49.95,N.V.,espumoso
13297,Prosecco Extra Dry Spumante N.V.,Italy,Prosecco di Treviso,Valdo,3.6,1922,7.5,N.V.,espumoso
13298,Sparkling Rosé N.V.,Italy,Vino d'Italia,Ruffino,3.7,1944,16.54,N.V.,espumoso
13299,Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Nino Franco,3.7,1996,13.9,N.V.,espumoso
13300,Prosecco Brut N.V.,Italy,Prosecco,Maschio,3.6,2034,10.01,N.V.,espumoso
13301,Ultra Brut Champagne (Brut Nature) N.V.,France,Champagne,Laurent-Perrier,4.1,2051,62.4,N.V.,espumoso
13302,Cava Carta Nevada Premium Semi Dry (Semi-Seco) N.V.,Spain,Catalunya,Freixenet,3.6,2058,8.49,N.V.,espumoso
13303,Brut Nature Champagne (Philippe Starck) 2009,France,Champagne,Louis Roederer,4.2,2074,79.9,2009,espumoso
13304,Crémant d'Alsace Brut Millésime N.V.,France,Crémant d'Alsace,Arthur Metz,3.6,2090,12.19,N.V.,espumoso
13305,Excellence Brut Crémant de Loire N.V.,France,Crémant de Loire,Bouvet-Ladubay,3.8,2115,11.0,N.V.,espumoso
13306,Z Prosecco Brut N.V.,Italy,Prosecco,Zardetto,3.6,2128,9.5,N.V.,espumoso
13307,Prosecco Conegliano Valdobbiadene Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Cecilia Beretta,3.8,2161,14.32,N.V.,espumoso
13308,Blanc de Noirs Brut Champagne N.V.,France,Champagne,Fleury,4.0,2181,40.95,N.V.,espumoso
13309,Cuvée dei Frati Brut N.V.,Italy,Lombardia,Cà dei Frati,3.8,2239,16.88,N.V.,espumoso
13310,Brut Rosé (Pink) N.V.,Spain,Cava,Anna de Codorniu,3.6,2298,12.89,N.V.,espumoso
13311,Cava Gran Cuvée Reserva N.V.,Spain,Cava,Segura Viudas,3.8,2313,15.65,N.V.,espumoso
13312,Comtes de Champagne Blanc de Blancs 2007,France,Champagne,Taittinger,4.5,2326,157.81,2007,espumoso
13313,Rosé N.V.,Italy,Trento,Ferrari,3.8,2350,21.8,N.V.,espumoso
13314,Brut Rosé Champagne N.V.,France,Champagne,Krug,4.6,2376,299.0,N.V.,espumoso
13315,Cristal Brut Champagne (Millésimé) 2005,France,Champagne,Louis Roederer,4.6,2385,251.23,2005,espumoso
13316,Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Jeio,3.6,2408,15.43,N.V.,espumoso
13317,Crémant de Loire Rosé Brut N.V.,France,Crémant de Loire,De Chanceny,3.8,2442,11.95,N.V.,espumoso
13318,Cuvée de l'Écusson Brut N.V.,Luxembourg,Moselle,Bernard-Massard,3.7,2444,17.1,N.V.,espumoso
13319,Franciacorta Satén N.V.,Italy,Franciacorta,Ca' del Bosco,4.2,2444,44.0,N.V.,espumoso
13320,Famiglia dal 1908 Prosecco N.V.,Italy,Prosecco,Cielo e Terra,3.7,2458,5.99,N.V.,espumoso
13321,Cuvée William Deutz Millesimé Brut Champagne N.V.,France,Champagne,Deutz,4.4,2496,130.0,N.V.,espumoso
13322,Cristal Brut Champagne (Millésimé) 2002,France,Champagne,Louis Roederer,4.7,2607,363.75,2002,espumoso
13323,Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Maschio dei Cavalieri,3.6,2617,10.29,N.V.,espumoso
13324,Franciacorta Rosé N.V.,Italy,Franciacorta,Contadi Castaldi,3.8,2649,19.9,N.V.,espumoso
13325,Rare Brut Champagne (Millesimé) 2002,France,Champagne,Piper-Heidsieck,4.5,2674,202.01,2002,espumoso
13326,Riesling Brut N.V.,Germany,Pfalz,Reichsrat von Buhl,3.8,2693,15.5,N.V.,espumoso
13327,7 Crus Brut Champagne Grand Cru 'Avize' N.V.,France,Champagne Grand Cru 'Avize',Agrapart & Fils,4.1,2700,45.72,N.V.,espumoso
13328,Cristal Brut Champagne (Millésimé) 2008,France,Champagne,Louis Roederer,4.6,2729,237.65,2008,espumoso
13329,Grand Vintage Brut Champagne 2009,France,Champagne,Moët & Chandon,4.2,2737,67.29,2009,espumoso
13330,Cuvée Brut Champagne N.V.,France,Champagne,Jeanmaire,3.5,2739,25.97,N.V.,espumoso
13331,Brut Champagne N.V.,France,Champagne,Besserat de Bellefon,4.0,2752,29.9,N.V.,espumoso
13332,Cuvée Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,2781,44.54,N.V.,espumoso
13333,1754 Prosecco N.V.,Italy,Prosecco,Casa Defrà,3.8,2789,11.65,N.V.,espumoso
13334,Grande Réserve Brut Champagne N.V.,France,Champagne,Baron-Fuenté,3.8,2818,21.5,N.V.,espumoso
13335,Brut Grand Rosé Champagne N.V.,France,Champagne,Gosset,4.1,2820,33.0,N.V.,espumoso
13336,Nocturne Champagne (Sec) N.V.,France,Champagne,Taittinger,4.1,2829,52.73,N.V.,espumoso
13337,Sur Lie Nature N.V.,Brazil,Rio Grande do Sul,Casa Valduga,4.1,2837,16.61,N.V.,espumoso
